route_id,route_short_name,route_long_name,agency_id,sistema,subsistema,status,grupo_mode,lote_mode,empresa_mode,consorcio_operador,area_operacional_num_1a9,nome,area_operacional_hex_cor,cidade
1012-10,1012-10,Term. Jd. Britania - Jd. Monte Belo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1012-21,1012-21,Term. Jd. Britânia - Jd. Rosinha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1014-10,1014-10,Cptm Perus - Morro Doce,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1015-10,1015-10,Term. Jd. Britânia - Chác. Maria Trindade,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1016-10,1016-10,Cem. Do Horto - Shop. Center Norte,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D02,Norte Buss,,,,,São Paulo
1017-10,1017-10,Perus - Conexão Vl. Iório,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Spencer,,,,,São Paulo
1018-10,1018-10,Vl. Rosa - Metrô Santana,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D02,Norte Buss,,,,,São Paulo
1019-10,1019-10,Sol Nascente - Term. Pirituba,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR1,Santa Brigida Mangalot,Consórcio Bandeirante de Mobilidade,1.0,Área 1,#4DFF19,São Paulo
1020-10,1020-10,Perus - Conexão Vl. Iório ,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Spencer,,,,,São Paulo
1021-10,1021-10,Cohab Brasilândia - Term. Pirituba,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1022-10,1022-10,Vl. Sta. Cruz - Cptm Perus,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1023-10,1023-10,Vl. Pirituba - Cptm Pirituba,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1024-10,1024-10,Jd. Carombé - Conexão Petrônio Portela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Spencer,,,,,São Paulo
1025-10,1025-10,Jd. Carombé - Conexão Petrônio Portela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Spencer,,,,,São Paulo
1026-10,1026-10,Vl. Iara - Conexão Petrônio Portela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Spencer,,,,,São Paulo
1034-10,1034-10,Vl. Iara - Conexão Vl. Iório,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
1036-10,1036-10,Cohab Brasilândia - Conexão Vl. Iório,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D01,Norte Buss,,,,,São Paulo
106A-10,106A-10,Metrô Santana - Itaim Bibi,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E02,Sambaiba,,,,,São Paulo
107T-10,107T-10,Metrô Tucuruvi - Term. Pinheiros,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E02,Sambaiba,,,,,São Paulo
