linha_id,linha,sistema,subsistema,operador,fase,etapa,status,qtde_vias,qtde_estacoes,comprimento_km,origem_aba,cidade
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Propostas - Subsistema Leve,Propostas - Subsistema Leve,Fase I - Extensão para Pq. Dom Pedro II,,proposta,,0,15.20473015892093,dados,São Paulo
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Propostas - Subsistema Leve,Propostas - Subsistema Leve,Fase I - Extensão para Vila Yara,,proposta,,0,6.412547019173005,dados,São Paulo
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Propostas - Subsistema Leve,Propostas - Subsistema Leve,Fase II - Ramal para Alvarenga,,proposta,,0,16.27417098653093,dados,São Paulo
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Propostas - Subsistema Leve,Propostas - Subsistema Leve,Fase II - Ramal para Giovani Gronchi,,proposta,,0,3.901153364065354,dados,São Paulo
linha_18_bronze,Linha 18 - Bronze,Sistema Metropolitano,Propostas - Subsistema Leve,Propostas - Subsistema Leve,Fase I - Djalma Dutra - Ipiranga,,proposta,,0,20.19941912915572,dados,São Paulo
linha_18_bronze,Linha 18 - Bronze,Sistema Metropolitano,Propostas - Subsistema Leve,Propostas - Subsistema Leve,Fase II - Ramal para Fernão Dias,,proposta,,0,14.31812808653478,dados,São Paulo
linha_01_azul,Linha 01 - Azul,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Extensão Norte,,proposta,,0,2.769437301807989,dados,São Paulo
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase 3 - São Domingos - Santa Monica,,proposta,,0,3.25850621629138,dados,São Paulo
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase I - Cerro Corá - Boaçava,,proposta,,0,2.862138269849237,dados,São Paulo
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Boaçava - São Domingos,,proposta,,0,4.338876253462794,dados,São Paulo
linha_03_vermelha_extensao_ate_lapa,Linha 03 - Vermelha - Extensão até Lapa,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Extensão Oeste,,proposta,,0,1.339315699057677,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase I - Trecho entre Paraíso - Jd. Aeroporto,,proposta,4.0,0,8.65878388616665,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,proposta,3.0,12,15.0750235685782,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa II - Ramal do Itororó,proposta,2.0,2,3.511983480344641,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,,proposta,2.0,0,7.503657952090711,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase III - Extensão para Belmira Marin,,proposta,,0,10.49195819724016,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Extensão Sudoeste,,proposta,,0,8.24259783217414,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão até Vila Medeiros,,proposta,,0,8.850904620420481,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão até Torres Tibagy,,proposta,,0,5.284494709470335,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase III - Extensão até Pq. Adriana,,proposta,,0,3.000959072750108,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão para Bresser,,proposta,,0,5.311863319322005,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão para Zaki Narchi,,proposta,,0,11.6683481168392,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase III - Extensão para Tremembé,,proposta,,0,5.649697492097158,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase IV - Extensão para Fontális,,proposta,,0,2.652231418655718,dados,São Paulo
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão até Vila Industrial ❸,,proposta,3.0,0,9.60923768126869,dados,São Paulo
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão até Sonia Maria ❸,,proposta,3.0,0,7.84573440038259,dados,São Paulo
linha_16_violeta,Linha 16 - Violeta,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase Única - Extensão Leste,,proposta,2.0,0,2.690055276619622,dados,São Paulo
linha_19_celeste,Linha 19 - Celeste,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Extensão Norte,,proposta,,0,4.154254888854753,dados,São Paulo
linha_19_celeste,Linha 19 - Celeste,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão até Helio Peregrino,,proposta,4.0,0,9.069867017175065,dados,São Paulo
linha_19_celeste,Linha 19 - Celeste,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão até Diadema,Etapa I - Extensão de Largo Treze,proposta,4.0,9,8.97952910592471,dados,São Paulo
linha_19_celeste,Linha 19 - Celeste,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão até Diadema,Etapa II - Extensão para Alvarenga,proposta,3.0,6,9.444314279951813,dados,São Paulo
linha_19_celeste,Linha 19 - Celeste,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão até Diadema,Etapa III - Exntensão para Diadema,proposta,3.0,3,3.107951942582179,dados,São Paulo
linha_20_rosa,Linha 20 - Rosa,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Arco Norte,,proposta,3.0,0,7.868677235855863,dados,São Paulo
linha_20_rosa,Linha 20 - Rosa,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Arco Leste,,proposta,3.0,0,31.85045304513479,dados,São Paulo
linha_20_rosa,Linha 20 - Rosa,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase III - Arco Nordeste,,proposta,3.0,0,12.29024997810903,dados,São Paulo
linha_21_grafite,Linha 21 - Grafite,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,,,proposta,,0,10.74213258508732,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão Norte - Anel Inferior,Etapa I - Trecho entre Sumaré/Cerro Corá - Barra Funda[,proposta,4.0,3,3.71793883461208,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão Norte - Anel Inferior,Etapa II - Trecho entre Barra Funda - Santana,proposta,4.0,6,5.702304632104137,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão Norte - Anel Inferior,Etapa III - Trecho entre Santana e Gabriela Mistral,proposta,4.0,5,8.069447920741196,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - USP - Cerro Corá,Etapa I - Trecho entre Sumaré/Cerro Corá - Barra Funda[,proposta,,4,3.245843700119687,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Cerro Corá - Perdizes,Etapa I - Trecho entre Sumaré/Cerro Corá - Barra Funda[,proposta,,2,3.813445581444156,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão para Imperador,Etapa I - Trecho entre Gabriela Mistral - Paranaguá - Boturussu,proposta,4.0,8,8.348061417316652,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão para Imperador,Etapa II - Trecho entre Boturussu - São Miguel,proposta,4.0,3,4.559856330644784,dados,São Paulo
linha_22_marrom,Linha 22 - Marrom,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase III - Extensão até Bonsucesso,,proposta,2.0,0,8.927205780277822,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - até Jaguaré,,proposta,3.0,0,5.965738120880069,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - até Osasco,,proposta,3.0,0,5.854224703634634,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - até Helena Maria,,proposta,3.0,0,3.58132090672327,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase IV - até Alphaville,,proposta,,0,8.059185401183582,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase V - até Barueri,,proposta,,0,4.716966982291139,dados,São Paulo
linha_cse1_caninde_largrimas,Linha CSE1 - Canindé - Lárgrimas,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre Canindé - Lágrimas ❸,,proposta,3.0,0,13.53061459429214,dados,São Paulo
linha_cse1_caninde_largrimas,Linha CSE1 - Canindé - Lárgrimas,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - Extensão para Santo André ❸,,proposta,3.0,0,6.969050995909976,dados,São Paulo
linha_cso1_helio_peregrino_ate_valo_velho,Linha CSO1 -  Hélio Peregrino até Valo Velho,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre Hélio Peregrino - Carlos Lacerda ❹,,proposta,4.0,0,11.51613373846683,dados,São Paulo
linha_cso1_helio_peregrino_ate_valo_velho,Linha CSO1 -  Hélio Peregrino até Valo Velho,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - Trecho entre Carlos Larcerda e Valo Velho ❷,,proposta,2.0,0,12.63506429863579,dados,São Paulo
linha_cso1_helio_peregrino_ate_valo_velho,Linha CSO1 -  Hélio Peregrino até Valo Velho,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Extensão até Anhangabaú ❹,,proposta,4.0,0,6.958273503836453,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre Imperador- Tiradentes ❹,,proposta,4.0,0,19.48833174171696,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - Trecho entre Tiradentes - Jaguaré ❹,,proposta,4.0,0,11.77719722499969,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Trecho entre Imperador- Cidade Kemel e Ramais ❷,Etapa I - Ramal até Guianazes,proposta,2.0,6,5.596100937538389,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Trecho entre Imperador- Cidade Kemel e Ramais ❷,,proposta,2.0,0,16.67920589421303,dados,São Paulo
linha_nel1_itaim_paulista_sao_mateus,Linha NEL1 - Itaim Paulista - São Mateus,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Extensão até Cidade Tiradentes ❸,,proposta,3.0,0,10.01424623900209,dados,São Paulo
