linha_id,linha,sistema,subsistema,operador,fase,etapa,status,qtde_vias,qtde_estacoes,comprimento_km,origem_aba,cidade
linha_01_azul,Linha 01 - Azul,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Extensão Norte,Etapa Única,proposto,2,2,2.769437301807989,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase I - Trecho entre Paraíso - Jd. Aeroporto,Etapa Única,proposto,4,10,8.65878388616665,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,proposto,3,12,15.0750235685782,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa II - Ramal do Itororó,proposto,2,2,3.511983480344641,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa Única,proposto,2,6,7.503657952090711,dados,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase III - Extensão para Belmira Marin,Etapa Única,proposto,2,8,10.49195819724016,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Extensão Sudoeste,Etapa Única,proposto,2,8,8.24259783217414,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão até Vila Medeiros,Etapa Única,proposto,2,7,8.850904620420481,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão até Torres Tibagy,Etapa Única,proposto,2,4,5.284494709470335,dados,São Paulo
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase III - Extensão até Pq. Adriana,Etapa Única,proposto,2,3,3.000959072750108,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase I - Extensão para Bresser,Etapa Única,proposto,2,5,5.311863319322005,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase II - Extensão para Zaki Narchi,Etapa Única,proposto,2,5,11.6683481168392,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase III - Extensão para Tremembé,Etapa Única,proposto,2,5,5.649697492097158,dados,São Paulo
linha_05_lilas,Linha 05 - Lilás,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Fase IV - Extensão para Fontális,Etapa Única,proposto,2,3,2.652231418655718,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - até Jaguaré,Etapa Única,proposto,3,5,5.965738120880069,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - até Osasco,Etapa Única,proposto,3,4,5.854224703634634,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - até Helena Maria,Etapa Única,proposto,3,2,3.58132090672327,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase IV - até Alphaville,Etapa Única,proposto,2,5,8.059185401183582,dados,São Paulo
linha_co4_teodoro_sampaio_barueri,Linha CO4 - Teodoro Sampaio - Barueri,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase V - até Barueri,Etapa Única,proposto,2,3,4.716966982291139,dados,São Paulo
linha_cse1_caninde_largrimas,Linha CSE1 - Canindé - Lárgrimas,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre Canindé - Lágrimas ❸,Etapa Única,proposto,3,13,13.53061459429214,dados,São Paulo
linha_cse1_caninde_largrimas,Linha CSE1 - Canindé - Lárgrimas,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - Extensão para Santo André ❸,Etapa Única,proposto,3,6,6.969050995909976,dados,São Paulo
linha_cso1_helio_peregrino_ate_valo_velho,Linha CSO1 -  Hélio Peregrino até Valo Velho,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre Hélio Peregrino - Carlos Lacerda ❹,Etapa Única,proposto,4,11,11.51613373846683,dados,São Paulo
linha_cso1_helio_peregrino_ate_valo_velho,Linha CSO1 -  Hélio Peregrino até Valo Velho,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - Trecho entre Carlos Larcerda e Valo Velho ❷,Etapa Única,proposto,2,13,12.63506429863579,dados,São Paulo
linha_cso1_helio_peregrino_ate_valo_velho,Linha CSO1 -  Hélio Peregrino até Valo Velho,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Extensão até Anhangabaú ❹,Etapa Única,proposto,4,8,6.958273503836453,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre Imperador- Tiradentes ❹,Etapa Única,proposto,4,17,19.48833174171696,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - Trecho entre Tiradentes - Jaguaré ❹,Etapa Única,proposto,4,13,11.77719722499969,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Trecho entre Imperador- Cidade Kemel e Ramais ❷,Etapa I - Ramal até Guianazes,proposto,2,6,5.596100937538389,dados,São Paulo
linha_lo1_cid_kemel_jaguare,Linha LO1 - Cid. Kemel - Jaguaré,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Trecho entre Imperador- Cidade Kemel e Ramais ❷,Etapa Única,proposto,2,14,16.67920589421303,dados,São Paulo
linha_nl1_jd_japao_sertanistas,Linha NL1 - Jd. Japão - Sertanistas,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre  Penha - São Mateus ❸,Etapa Única,proposto,3,11,18.13395157995071,dados,São Paulo
linha_nl1_jd_japao_sertanistas,Linha NL1 - Jd. Japão - Sertanistas,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II -  Trecho entre Jd. Japão - Penha  ❸,Etapa Única,proposto,3,4,5.984945350497732,dados,São Paulo
linha_one1_oscar_freire_santana,Linha ONE1 - Oscar Freire - Santana,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase I - Trecho entre Oscar Freire - Santana,Etapa Única,proposto,2,21,22.9548042848927,dados,São Paulo
linha_one1_oscar_freire_santana,Linha ONE1 - Oscar Freire - Santana,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase II - Extensão para Dutra,Etapa Única,proposto,2,6,8.481783084083368,dados,São Paulo
linha_one1_oscar_freire_santana,Linha ONE1 - Oscar Freire - Santana,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Extensão para Bonsucesso,Etapa I - Dutra - CECAP,proposto,2,6,8.676837266396562,dados,São Paulo
linha_one1_oscar_freire_santana,Linha ONE1 - Oscar Freire - Santana,Sistema Metropolitano,Propostas - Subsistema terciário,Propostas - Subsistema terciário,Fase III - Extensão para Bonsucesso,Etapa II - CECAP - Bonsucesso,proposto,2,6,11.1320183354508,dados,São Paulo
linha_01_azul,Linha 01 - Azul,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Extensão Norte,Etapa Única,proposto,2,2,2.769437301807989,metropolitano,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase I - Trecho entre Paraíso - Jd. Aeroporto,Etapa Única,proposto,4,10,8.65878388616665,metropolitano,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,proposto,3,12,15.0750235685782,metropolitano,São Paulo
linha_cs1_paraiso_anhangabau_ate_pedreira_nakamura,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa II - Ramal do Itororó,proposto,2,2,3.511983480344641,metropolitano,São Paulo
