linha_id,linha,sistema,subsistema,operador,fase,etapa,status,qtde_vias,qtde_estacoes,comprimento_km,origem_aba,cidade,latitude_start,longitude_start,latitude_end,longitude_end,latlon_start,latlon_end
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Leste,,em construção,,0,9.61088747037186,dados,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Oeste,,em construção,,0,1.713682030339416,dados,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,,,em construção,,0,17.4897552634192,dados,São Paulo,-23.6320938865447,-46.67087088002491,-23.72764123938637,-46.57486965345597,"-23.632094,-46.670871","-23.727641,-46.574870"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,,0,1.297639198602744,dados,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Guarulhos,,em construção,,0,5.836351757102628,dados,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,,0,7.963693461312777,dados,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Sudoeste,,em construção,,0,3.368161645195275,dados,São Paulo,-23.5934176500119,-46.7347575600249,-23.5934176168925,-46.7347575233945,"-23.593418,-46.734758","-23.593418,-46.734758"
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,,0,21.25074524478969,dados,São Paulo,-23.46543358240953,-46.6998922907744,-23.5651713340836,-46.6335754719486,"-23.465434,-46.699892","-23.565171,-46.633575"
,,Sistema Suplementar,,,,,em construção,,0,31.1994631782694,dados,São Paulo,,,,,,
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Leste,,em construção,,0,9.61088747037186,metropolitano,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_15_prata,Linha 15 - Prata,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Extensão Oeste,,em construção,,0,1.713682030339416,metropolitano,São Paulo,-23.5989969215713,-46.4689911600249,-23.5989969204865,-46.4689911600253,"-23.598997,-46.468991","-23.598997,-46.468991"
linha_17_ouro,Linha 17 - Ouro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,,,em construção,,0,17.4897552634192,metropolitano,São Paulo,-23.6320938865447,-46.67087088002491,-23.72764123938637,-46.57486965345597,"-23.632094,-46.670871","-23.727641,-46.574870"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,,0,1.297639198602744,metropolitano,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Guarulhos,,em construção,,0,5.836351757102628,metropolitano,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,,0,7.963693461312777,metropolitano,São Paulo,-23.5407455952259,-46.7014971781742,-23.5842617472654,-46.58187204002551,"-23.540746,-46.701497","-23.584262,-46.581872"
linha_04_amarela,Linha 04 - Amarela,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Extensão Sudoeste,,em construção,,0,3.368161645195275,metropolitano,São Paulo,-23.5934176500119,-46.7347575600249,-23.5934176168925,-46.7347575233945,"-23.593418,-46.734758","-23.593418,-46.734758"
