estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
vila_mazzei,Vila Mazzei,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 01 - Azul,Extensão Norte,Etapa Única,desconhecido,Não,-23.47156080540629,-46.59731019681401,dados,São Paulo,kml_96
jacana,Jaçãnã,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 01 - Azul,Extensão Norte,Etapa Única,desconhecido,Não,-23.4656947138869,-46.58412269666395,dados,São Paulo,kml_90
ponta_pora,Ponta Porã,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase I - Cerro Corá - Boaçava,Etapa Única,desconhecido,Não,-23.53759588128031,-46.70901652708045,dados,São Paulo,kml_45
diogenes_ribeiro_de_lima,Diógenes Ribeiro de Lima,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase I - Cerro Corá - Boaçava,Etapa Única,desconhecido,Não,-23.53560526606704,-46.71633447327638,dados,São Paulo,kml_45
boacava,Boaçava,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase I - Cerro Corá - Boaçava,Etapa Única,desconhecido,Não,-23.53659027057772,-46.72521369367349,dados,São Paulo,kml_59
vila_leopoldina,Vila Leopoldina,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase II - Boaçava - São Domingos,Etapa Única,desconhecido,Não,-23.52416350843899,-46.73815056713106,dados,São Paulo,kml_59
villa_jaragua,Villa Jaraguá,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase II - Boaçava - São Domingos,Etapa Única,desconhecido,Não,-23.5163986082746,-46.74672507092428,dados,São Paulo,kml_21
mangalot,Mangalot,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase 3 - São Domingos - Santa Monica,Etapa Única,desconhecido,Não,-23.49776906792133,-46.74674201384032,dados,São Paulo,kml_58
mutinga,Mutinga,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase 3 - São Domingos - Santa Monica,Etapa Única,desconhecido,Não,-23.48816835573346,-46.74926982805923,dados,São Paulo,kml_58
santa_monica,Santa Mônica,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha 02 - Verde,Fase 3 - São Domingos - Santa Monica,Etapa Única,desconhecido,Não,-23.48124829040115,-46.75514025208452,dados,São Paulo,kml_58
