estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
agua_branca,Água Branca,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 03 - Vermelha,,,em projeto,Não,-23.52238614057885,-46.68732953543425,dados,São Paulo,kml_45
comendador_sant_anna,Comendador Sant'Anna,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 05 - Lílas,Extensão Sul,,em projeto,Não,-23.6712489473428,-46.77358705717778,dados,São Paulo,kml_50
jardim_angela,Jardim Ângela ● ◆,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 05 - Lílas,Extensão Sul,,em projeto,Sim,-23.6909724,-46.77492820000001,dados,São Paulo,kml_87
ricardo_jafet,Ricardo Jafet,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 05 - Lílas,Extensão Norte,,em projeto,Não,-23.58723744823585,-46.61939184836195,dados,São Paulo,kml_75
bom_pastor,Bom Pastor,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 05 - Lílas,Extensão Norte,,em projeto,Não,-23.58329163499302,-46.60769018030105,dados,São Paulo,kml_41
ipiranga,Ipiranga,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 05 - Lílas,Extensão Norte,,em projeto,Não,-23.58186776929841,-46.59741533619189,dados,São Paulo,kml_41
teodoro_sampaio,Teodoro Sampaio,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56167440432415,-46.68438711107068,dados,São Paulo,kml_37
oscar_freire,Oscar Freire,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56019811212317,-46.66999091486018,dados,São Paulo,kml_66
nove_de_julho,Nove de Julho,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56930101553593,-46.66005131035093,dados,São Paulo,kml_66
jardim_paulista,Jardim Paulista,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.57643481452353,-46.65719076708381,dados,São Paulo,kml_15
parque_ibirapuera,Parque Ibirapuera,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.58241368495392,-46.65491845878525,dados,São Paulo,kml_15
dante_pazzanezi,Dante Pazzanezi,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.58556150930234,-46.6463411917046,dados,São Paulo,kml_75
ana_rosaproposta,Ana RosaProposta:  ● ■,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Sim,-23.58215494160781,-46.63872737233316,dados,São Paulo,kml_75
pq_aclimacao,Pq. Aclimação,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.57828350263759,-46.62657186699374,dados,São Paulo,kml_75
independencia,Independência,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.57658972189862,-46.61138304060522,dados,São Paulo,kml_41
sao_carlos,São Carlos,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56953467931703,-46.60443048884505,dados,São Paulo,kml_41
paes_de_barros,Paes de Barros,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56423682437288,-46.59560065459214,dados,São Paulo,kml_63
vila_bertioga,Vila Bertioga,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.55836593195174,-46.5909204261747,dados,São Paulo,kml_63
alvaro_ramos,Álvaro Ramos,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.55541410762367,-46.57851788863707,dados,São Paulo,kml_71
regente_feijo,Regente Feijó,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.55856232560336,-46.56902144505763,dados,São Paulo,kml_71
analia_franco,Anália Franco,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56442009599886,-46.55953751214929,dados,São Paulo,kml_33
abel_ferreira,Abel Ferreira,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56851332188919,-46.55277064970509,dados,São Paulo,kml_33
renata,Renata,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.57114443902487,-46.54020564343946,dados,São Paulo,kml_33
cipriano_rodrigues,Cipriano Rodrigues,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.57610527606375,-46.52796796288668,dados,São Paulo,kml_55
vila_antonieta,Vila Antonieta,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.57582104022082,-46.51810288446472,dados,São Paulo,kml_55
rio_das_pedras,Rio das Pedras,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56515065813061,-46.50919358386196,dados,São Paulo,kml_55
jardim_brasilia,Jardim Brasília,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.55297442021907,-46.49362374918569,dados,São Paulo,kml_36
santa_marcelina,Santa Marcelina,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.55297029735678,-46.46545152792518,dados,São Paulo,kml_36
colonia,Colonia,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.55878804331467,-46.44520107668262,dados,São Paulo,kml_22
fazenda_do_carmo,Fazenda do Carmo,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.56707989618017,-46.41599803465926,dados,São Paulo,kml_2
cidade_tiradentes,Cidade Tiradentes,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 16 - Violeta,,,em projeto,Não,-23.5839003648365,-46.40840548890284,dados,São Paulo,kml_2
anhangabau,Anhangabaú,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.54968604296782,-46.63965197834013,dados,São Paulo,kml_30
sao_bento,São Bento,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.54363350742896,-46.63570347208585,dados,São Paulo,kml_30
cerealistas,Cerealistas,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.53949360172609,-46.62472862699127,dados,São Paulo,kml_88
silva_teles,Silva Teles,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.53335940454871,-46.61225466193748,dados,São Paulo,kml_49
pari,Pari,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.53033747361583,-46.60441088711207,dados,São Paulo,kml_49
vila_maria,Vila Maria,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.52271042767289,-46.59273886920809,dados,São Paulo,kml_10
curuca,Curuçá,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.51474915762078,-46.58681927174879,dados,São Paulo,kml_10
jardim_japao,Jardim Japão,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.50260829106561,-46.57543332751602,dados,São Paulo,kml_10
jardim_julieta,Jardim Julieta,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.48635247593676,-46.56401571141645,dados,São Paulo,kml_95
dutra,Dutra,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.48763779647491,-46.54606533927608,dados,São Paulo,
vila_augusta,Vila Augusta,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 19 - Celeste,,,em projeto,Não,-23.47710180824262,-46.53527651342033,dados,São Paulo,
