estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
tucuruvi,Tucuruvi,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.4805017,-46.6037032,dados,São Paulo,kml_96
parada_inglesa,Parada Inglesa,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.4869482,-46.6088383,dados,São Paulo,kml_96
jardim_sao_paulo,Jardim São Paulo,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.4922912,-46.6166489,dados,São Paulo,kml_51
santana,Santana,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5025633,-46.6247491,dados,São Paulo,kml_51
carandiru,Carandiru,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5091428,-46.62495040000001,dados,São Paulo,kml_51
tiete,Tietê,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5160942,-46.6252053,dados,São Paulo,kml_51
armenia,Armênia,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5255115,-46.6293322,dados,São Paulo,kml_72
tiradentes,Tiradentes,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.53077632312652,-46.63207381860139,dados,São Paulo,kml_72
luz,Luz,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5358729,-46.6336053,dados,São Paulo,kml_30
sao_bento,São Bento,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5443855,-46.6341151,dados,São Paulo,kml_94
se,Sé,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.55077717386386,-46.63297796962942,dados,São Paulo,kml_94
liberdade,Liberdade,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.555306,-46.6356969,dados,São Paulo,kml_94
sao_joaquim,São Joaquim,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5618755,-46.638701,dados,São Paulo,kml_5
vergueiro,Vergueiro,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5688774,-46.6400313,dados,São Paulo,kml_5
paraiso,Paraíso,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.57632475066794,-46.64079000603561,dados,São Paulo,kml_75
ana_rosa,Ana Rosa,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5815821,-46.6387224,dados,São Paulo,kml_75
vila_mariana,Vila Mariana,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5895269,-46.6345167,dados,São Paulo,kml_75
santa_cruz,Santa Cruz,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.5989655,-46.6367054,dados,São Paulo,kml_75
praca_da_arvore,Praça da Árvore,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.6104483,-46.6379499,dados,São Paulo,kml_17
saude,Saúde,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.61858672699015,-46.63922668540103,dados,São Paulo,kml_17
sao_judas,São Judas,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.6256064,-46.6408253,dados,São Paulo,kml_17
conceicao,Conceição,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.635193,-46.641279,dados,São Paulo,kml_86
jabaquara,Jabaquara,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 01 - Azul,,,existente,Não,-23.6462009,-46.6408069,dados,São Paulo,kml_86
vila_madalena,Vila Madalena,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.5464691,-46.6907818,dados,São Paulo,kml_83
sumare,Sumaré,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.550718,-46.6778643,dados,São Paulo,kml_83
clinicas,Clínicas,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.5541012,-46.67082620000001,dados,São Paulo,kml_84
consolacao,Consolação,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.5577795,-46.6606552,dados,São Paulo,kml_84
trianon,Trianon,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.5636607,-46.6538163,dados,São Paulo,kml_60
brigadeiro,Brigadeiro,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.5687154,-46.6476204,dados,São Paulo,kml_60
paraiso,Paraíso,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.57662280500258,-46.64109898872234,dados,São Paulo,kml_75
ana_rosa,Ana Rosa,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.5815204,-46.6386491,dados,São Paulo,kml_75
chacara_klabin,Chácara Klabin,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.59275472930291,-46.63044268370038,dados,São Paulo,kml_75
imigrantes,Imigrantes,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.595915,-46.62073190000001,dados,São Paulo,kml_12
alto_do_ipiranga,Alto do Ipiranga,Sistema Metropolitano,Subsistema primário,Subsistema primário,Linha 02 - Verde,,,existente,Não,-23.60219624603514,-46.61232676241642,dados,São Paulo,kml_41
