terminal_id,stop_name,stop_desc,latitude,longitude,sistema,subsistema,status,cidade,distrito
301729,Terminal Jardim Britânia,Term. Jardim Britânia Ref.: Av. Pierre Renoir,-23.432142,-46.787093,onibus,municipal,existente,São Paulo,kml_42
301785,Terminal Jardim Britânia,Term. Jardim Britânia Ref.: Av. Pierre Renoir,-23.431538,-46.787191,onibus,municipal,existente,São Paulo,kml_42
301788,Terminal Jardim Britânia,,-23.431644,-46.787175,onibus,municipal,existente,São Paulo,kml_42
301789,Terminal Jardim Britânia,,-23.431805,-46.787148,onibus,municipal,existente,São Paulo,kml_42
301790,Terminal Jardim Britânia,,-23.431924,-46.787131,onibus,municipal,existente,São Paulo,kml_42
509026,Terminal Metrô Artur Alvim,Term. Metrô Artur Alvim Ref.: Plataforma A,-23.540692,-46.482933,onibus,municipal,existente,São Paulo,kml_82
614542,Terminal Barra Funda Lado Norte Plat. A,Term. Barra Funda Lado Norte Plat. A Ref.: Rua Gustav Willi Borghoff,-23.525149,-46.666532,onibus,municipal,existente,São Paulo,kml_77
614543,Terminal Barra Funda Lado Norte Plat. A,Term. Barra Funda Lado Norte Plat. A Ref.: Rua Gustav Willi Borghoff,-23.525157,-46.666352,onibus,municipal,existente,São Paulo,kml_77
614544,Terminal Barra Funda Lado Norte Plat. A,,-23.525172,-46.666195,onibus,municipal,existente,São Paulo,kml_77
614546,Terminal Barra Funda Lado Norte Plat. A,Term. Barra Funda Lado Norte Plat. A Ref.: Rua Gustav Willi Borghoff,-23.525176,-46.666035,onibus,municipal,existente,São Paulo,kml_77
614583,Terminal Barra Funda Lado Sul Plat. B,,-23.526276,-46.667270,onibus,municipal,existente,São Paulo,kml_77
810590,Terminal Metrô Belém (sul) Pl. D,,-23.543289,-46.589189,onibus,municipal,existente,São Paulo,kml_49
1211359,Terminal Metrô Butantã,,-23.571891,-46.708796,onibus,municipal,existente,São Paulo,kml_27
1211361,R. Mmdc Ref.: Terminal Butantã,,-23.572151,-46.709027,onibus,municipal,existente,São Paulo,kml_27
1211370,"R. Mmdc, 364 Ref.: Lateral Terminal Butantã",,-23.572251,-46.708867,onibus,municipal,existente,São Paulo,kml_27
1211373,Terminal Metrô Butantã,Term. Metrô Butantã Ref.: Acesso Av.dr. Vital Brasil,-23.571884,-46.708304,onibus,municipal,existente,São Paulo,kml_27
1211376,Terminal USP (cidade Universitária),Term. USP (cidade Universitária) Ref.: Av. Escola Politécnica,-23.552258,-46.732017,onibus,municipal,existente,São Paulo,kml_27
1211391,Terminal Metrô Butantã,Term. Metrô Butantã Ref.: Plataforma A - Acesso À R. Camargo,-23.571713,-46.709314,onibus,municipal,existente,São Paulo,kml_27
1211402,Terminal Morumbi,Term. Morumbi Ref.: Estação São Paulo Morumbi,-23.585720,-46.724003,onibus,municipal,existente,São Paulo,kml_27
1211404,Terminal Morumbi,,-23.585784,-46.723970,onibus,municipal,existente,São Paulo,kml_27
1211408,Terminal Morumbi,Term. Morumbi Ref.: São Paulo Morumbi,-23.585620,-46.724134,onibus,municipal,existente,São Paulo,kml_27
1313568,Terminal Vila Nova Cachoeirinha,Term. Vila Nova Cachoeirinha Ref.: Pmd 12,-23.475390,-46.670275,onibus,municipal,existente,São Paulo,kml_7
1707356,Terminal Campo Limpo,,-23.630478,-46.773613,onibus,municipal,existente,São Paulo,kml_52
1707357,Terminal Campo Limpo,,-23.631152,-46.772489,onibus,municipal,existente,São Paulo,kml_52
1707358,Terminal Campo Limpo,,-23.631557,-46.772434,onibus,municipal,existente,São Paulo,kml_52
1707359,Terminal Campo Limpo,,-23.631689,-46.772182,onibus,municipal,existente,São Paulo,kml_52
1707457,Terminal Campo Limpo,Term. Campo Limpo Ref.: Term. Campo Limpo - Interno,-23.631184,-46.772251,onibus,municipal,existente,São Paulo,kml_52
