ORIGEM_ZONA,DESTINO_ZONA,VIAGENS_TOTAL,ORIGEM_NOME_ZONA,DESTINO_NOME_ZONA,ORIGEM_DISTRITO,DESTINO_DISTRITO,ORIGEM_MUNICIPIO,DESTINO_MUNICIPIO
404,404,258696.550111457,Suzano,Suzano,Suzano,Suzano,Suzano,Suzano
298,298,146035.359344917,Parelheiros,Parelheiros,Parelheiros,Parelheiros,São Paulo,São Paulo
378,378,139867.822757685,Água Chata,Água Chata,Guarulhos,Guarulhos,Guarulhos,Guarulhos
526,526,139854.077802864,Santana de Parnaíba,Santana de Parnaíba,Santana de Parnaíba,Santana de Parnaíba,Santana de Parnaíba,Santana de Parnaíba
116,116,137772.541506162,Parada de Taipas,Parada de Taipas,Jaraguá,Jaraguá,São Paulo,São Paulo
525,525,126768.544227308,Amador Bueno,Amador Bueno,Itapevi,Itapevi,Itapevi,Itapevi
486,486,121107.044687161,Barueri,Barueri,Barueri,Barueri,Barueri,Barueri
476,476,120275.951422548,Itapecerica da Serra,Itapecerica da Serra,Itapecerica da Serra,Itapecerica da Serra,Itapecerica da Serra,Itapecerica da Serra
403,403,115034.146094949,Miguel Badra,Miguel Badra,Suzano,Suzano,Suzano,Suzano
473,473,111325.201437752,São Marcos,São Marcos,Embu das Artes,Embu das Artes,Embu das Artes,Embu das Artes
229,229,110084.831400277,Cidade Tiradentes,Cidade Tiradentes,Cidade Tiradentes,Cidade Tiradentes,São Paulo,São Paulo
348,348,107868.840225223,Cajamar,Cajamar,Cajamar,Cajamar,Cajamar,Cajamar
443,443,106705.476678126,Mauá,Mauá,Mauá,Mauá,Mauá,Mauá
518,518,103008.562167688,Cotia,Cotia,Cotia,Cotia,Cotia,Cotia
388,388,95751.4412809914,Arujá,Arujá,Arujá,Arujá,Arujá,Arujá
398,398,94037.4071488897,Poá,Poá,Poá,Poá,Poá,Poá
524,524,93875.0518415056,Itapevi,Itapevi,Itapevi,Itapevi,Itapevi,Itapevi
465,465,89795.9822549758,Piraporinha,Piraporinha,Diadema,Diadema,Diadema,Diadema
447,447,86959.7865230404,Ribeirão Pires,Ribeirão Pires,Ribeirão Pires,Ribeirão Pires,Ribeirão Pires,Ribeirão Pires
401,401,86911.806626838,Bonsucesso,Bonsucesso,Itaquaquecetuba,Itaquaquecetuba,Itaquaquecetuba,Itaquaquecetuba
141,141,86118.8009506274,Cachoeirinha,Cachoeirinha,Cachoeirinha,Cachoeirinha,São Paulo,São Paulo
295,295,83711.4691302629,Belmira Marin,Belmira Marin,Grajaú,Grajaú,São Paulo,São Paulo
394,394,83008.0757544036,Ferraz de Vasconcelos,Ferraz de Vasconcelos,Ferraz de Vasconcelos,Ferraz de Vasconcelos,Ferraz de Vasconcelos,Ferraz de Vasconcelos
462,462,82232.1653390069,Reservatório Billings,Reservatório Billings,São Bernardo do Campo,São Bernardo do Campo,São Bernardo do Campo,São Bernardo do Campo
399,399,82020.2364832091,Itaquaquecetuba,Itaquaquecetuba,Itaquaquecetuba,Itaquaquecetuba,Itaquaquecetuba,Itaquaquecetuba
439,439,81784.5556396111,Carijós,Carijós,Santo André,Santo André,Santo André,Santo André
444,444,81699.5401366193,Jardim Zaíra,Jardim Zaíra,Mauá,Mauá,Mauá,Mauá
396,396,79176.7840385678,Santos Dumont,Santos Dumont,Ferraz de Vasconcelos,Ferraz de Vasconcelos,Ferraz de Vasconcelos,Ferraz de Vasconcelos
440,440,78799.9083447707,Parque do Pedroso,Parque do Pedroso,Santo André,Santo André,Santo André,Santo André
494,494,78664.3950723466,Cidade Ariston,Cidade Ariston,Carapicuíba,Carapicuíba,Carapicuíba,Carapicuíba
